Inventory Site,Item Number,Item Type,Asset Value,Inventory QTY,Physical QTY
H&F,1T11510FT,WIP,0.71,104123,0
E-Comm,E-Comm,Finish Good ,9.34,7418,58
Drop Ship,54,Packaging,0.23,188000,0
H&F,411,Ingredient ,2.95,12293.101,0
H&F,001696G,Packaging,0.16,237243,15043
Piscataway,CH007B,Coating,1.14,38537.5076,10351
Piscataway,1T11010FT,WIP,0.4,76738,0
H&F,520,Ingredient ,2.69,12880,1440
H&F,00109PFC,Packaging,0.8,37518,5643
Piscataway,CH003-NSAD,Coating,2.15,10099.65944,0
Piscataway,211,Ingredient ,1.97,59734.3,50000
Piscataway,MIN120FT,Finish Good ,13.29,4754,3506
H&F,525,Ingredient ,14.46,1050,0
Piscataway,00109SL,Packaging,1.54,18575,8750
Piscataway,1MIN1190FT,WIP,0.27,137926,82129
Piscataway,P10120Y,Yogurt,2.63,8309.5,3608.6
H&F,201,Coating,2.11,20901,15793.485
Penn Dairy,P10151Y,Yogurt,2.47,3998.5,0
Drop Ship,58,Packaging,0.1,97000,0
Drop Ship,56,Packaging,0.1,97000,0
Piscataway,205,Coating,2.28,23785,19600
Drop Ship,59,Packaging,0.11,83200,0
Drop Ship,60,Packaging,0.11,83200,0
H&F,00108PARFC,Packaging,0.49,19150,2150
Piscataway,1T11210FT,WIP,0.75,11124,0
H&F,00108PARF,Packaging,0.69,18673,6698
Piscataway,318,Ingredient ,4.06,5450,3450
Piscataway,00109CSL,Packaging,0.88,18059,9000
Piscataway,1MIN1020FT,WIP,0.11,71072,0
Penn Dairy,359,Ingredient ,92.79,154.468,73.06
Piscataway,MIN181FT,Finish Good ,13.65,1376,828
H&F,001813A,Packaging,0.01,2221546,1167741.694
Piscataway,1T11120FT,WIP,0.41,24707,8645
H&F,001814A,Packaging,0.01,2452087.5,1293750
Piscataway,SM12000FT,Finish Good ,84.33,1241,1168
Piscataway,1MIN1010FT,WIP,0.11,55866,0
Penn Dairy,536,Packaging,21.33,273,0
Piscataway,F11110FT,Finish Good ,14.13,3792,3395
H&F,001816A,Packaging,0.01,1606295,847500
H&F,87,Packaging,0.19,30980,2980
Drop Ship,61,Packaging,0.11,41600,0
Piscataway,T10120FT,Finish Good ,4.54,3717,2729
Piscataway,1T11361FT,WIP,0.43,21808,11644
Piscataway,00056HP,Packaging,0.09,112075,68625
H&F,211,Ingredient ,1.97,10000,8000
Penn Dairy,358,Ingredient ,2.22,5201.65,3476.66
Piscataway,1880,Packaging,0,2217006,1215036
Piscataway,1T11370FT,WIP,0.44,8264,0
H&F,P10120Y,Yogurt,2.63,6251.8,4898.542
Piscataway,59,Packaging,0.11,135351,104520
Piscataway,00058HP,Packaging,0.09,136624,103925
Drop Ship,00112G,Packaging,0.03,109350,0
Drop Ship,00163G,Packaging,0.03,109350,0
H&F,469,Ingredient ,4.66,12504.841,11908.69
Piscataway,2005,Packaging,0.39,67240,60460
Penn Dairy,P10010Y,Yogurt,2.61,996,0
H&F,T10300FT,Finish Good ,4.85,521,0
Drop Ship,00110G,Packaging,0.02,109350,0
H&F,205,Coating,2.28,1075,0
Piscataway,1T11360FT,WIP,0.47,13554,8802
Piscataway,2006,Packaging,0.39,67920,62520
Piscataway,00182A,Packaging,0.04,711689,654400
Piscataway,1T11181FT,WIP,0.46,4360,0
Drop Ship,00111G,Packaging,0.02,109350,0
H&F,476,Ingredient ,3.49,10544.377,9985.999
Penn Dairy,5022,Ingredient ,44.1,83.3,43.46
H&F,001702G,Packaging,0.16,43560,33160
E-Comm,T10400FT,Finish Good ,4.85,343,0
H&F,477,Ingredient ,2.38,4611.056,3923.72
Piscataway,T10036FT,Finish Good ,5.9,2539,2299
Piscataway,001995B,Packaging,0.25,29790,24640
Piscataway,1MIN2080FT,WIP,2.23,588,0
Penn Dairy,455,Ingredient ,11.43,5396.79,5282.13
H&F,474,Ingredient ,11,5870.6,5760.629
Piscataway,00088SL,Packaging,1.03,7130,6000
H&F,361,Ingredient ,0.18,6759.406,300
Piscataway,T10311FT,Finish Good ,5.09,295,85
Piscataway,00168G,Packaging,0.02,101250,58050
Piscataway,61,Packaging,0.11,112511,104100
Piscataway,54,Packaging,0.23,98500,94500
E-Comm,1T11362FT,WIP,0.46,1990,0
Penn Dairy,415,Ingredient ,14.8,1970.84,1910.86
Piscataway,51,Packaging,0.23,91170,87450
H&F,T10210FT,Finish Good ,8.02,101,0
Penn Dairy,5028,Ingredient ,2.65,291.11,0
Piscataway,00191B,Packaging,0.25,80997,78020
Piscataway,00195B,Packaging,0.24,15141,11995
Piscataway,358,Ingredient ,2.22,19889,19579
H&F,00112PF,Packaging,0.81,41925,41111
Piscataway,2007,Packaging,0.39,31030,29410
Piscataway,T10136FT,Finish Good ,5.57,1773,1661
H&F,351,Ingredient ,0.67,900,0
Piscataway,001818A,Packaging,0.01,120195,32720
H&F,204,Coating,3.36,15620,15450
Piscataway,F10121FT,Finish Good ,14.53,4329,4290
Piscataway,00108MINSL,Packaging,0.94,15443,14850
Piscataway,1T11150FT,WIP,0.4,2726,1363
Penn Dairy,5020,Ingredient ,19.78,593.23,566.31
Piscataway,T10160FT,Finish Good ,4.55,115,0
Piscataway,1T11160FT,WIP,0.4,1265,0
Piscataway,001817A,Packaging,0.01,205604,130880
Penn Dairy,527,Ingredient ,4.08,198.6,75
E-Comm,E-Comm,Finish Good ,5.33,144,60
E-Comm,1904B,Packaging,0.2,2206,0
Piscataway,484,Ingredient ,8.64,50,0
Piscataway,2011,Packaging,0.74,3581,3000
Penn Dairy,392,Ingredient ,19,463.14,441.3
Piscataway,001815A,Packaging,0.01,187400,130880
Piscataway,P10190Y,Yogurt,2.98,2017.6,1889.2
Piscataway,00057HP,Packaging,0.09,4010,0
Piscataway,1670,Packaging,0.06,94770,89000
H&F,475,Ingredient ,1.57,1915.15,1686.433
E-Comm,1T11081FT,WIP,0.48,704,0
Piscataway,00184B,Packaging,0,2813276,2722501
Piscataway,1672,Packaging,0.06,87730,82800
Piscataway,002003B,Packaging,0.23,34053,32760
Piscataway,00089SL,Packaging,0.73,6910,6500
E-Comm,T10130FT,Finish Good ,5.51,107,53
H&F,468,Ingredient ,4.7,3385.5644,3323.585
Piscataway,1884,Packaging,0,540000,472500
H&F,00109PFC,Packaging,0.07,9525,5643
Piscataway,P10370Y,Yogurt,2.85,98.08228,0
Piscataway,493,Ingredient ,18.24,287.7,273
Piscataway,00183B,Packaging,0,4207276,4140013
E-Comm,T10010FT,Finish Good ,4.52,52,0
Piscataway,00192B,Packaging,0.25,98057,97155
Piscataway,1T11362FT,WIP,0.46,15597,15119
Penn Dairy,393,Ingredient ,19.84,346,335
Piscataway,1MIN1080FT,WIP,0.12,16313,14446
Piscataway,00163G,Packaging,0.03,103210,95100
Piscataway,1T10360FT,WIP,0.46,4085,3652
Piscataway,465,Ingredient ,3.6,55,0
Penn Dairy,233,Ingredient ,24.11,483.35,475.73
Piscataway,2012,Packaging,0.4,7958,7500
Piscataway,1T11080FT,WIP,0.49,369,0
Penn Dairy,463,Ingredient ,3.25,89.94,35
Penn Dairy,462,Ingredient ,4.82,36,0
Piscataway,E-Comm M.Berry,Finish Good ,6.18,28,0
Piscataway,1T1230FT,WIP,0.44,5190,4820
Piscataway,E-Comm,Finish Good ,4.62,33,0
Piscataway,1T10110FT,WIP,2.26,67,0
Piscataway,142,Packaging,0.38,350,0
Piscataway,T10130FT,Finish Good ,5.51,24,0
Piscataway,00177A,Packaging,0.01,369234,343565
H&F,497,Ingredient ,8.85,565.651,551.725
Piscataway,1T11130FT,WIP,0.51,210,0
Piscataway,527,Ingredient ,4.08,97,75
Penn Dairy,528,Ingredient ,26.95,71.75,68.49
H&F,472,Ingredient ,2.02,3212.541,3170.271
E-Comm,E-Comm,Finish Good ,1.11,67,0
Piscataway,1T11340FT,WIP,0.55,1087,960
Penn Dairy,228,Ingredient ,23.38,94.43,91.48
Penn Dairy,526,Ingredient ,48.34,16.5,15.25
Piscataway,00198B,Packaging,0.25,17184,16940
Penn Dairy,230,Ingredient ,5.5,9.61,0
Piscataway,2002,Packaging,0.4,10127,10000
H&F,GRAN_CRAN3,Granola,4.14,12,0
Penn Dairy,5024,Ingredient ,17.26,130.94,128.2
Piscataway,1883,Packaging,0,888453,877500
Piscataway,P10360Y,Yogurt,3.27,3493.967,3480
Piscataway,001685G,Packaging,0.02,218580,216700
Piscataway,471,Ingredient ,1,1582.18,1543.24
Penn Dairy,394,Ingredient ,40.05,122.23,121.4
Piscataway,00176A,Packaging,0.01,873025,867080
H&F,470,Ingredient ,1.5,3092.343,3071.796
Penn Dairy,256,Ingredient ,1.79,16.04,0
Piscataway,1671,Packaging,0.08,270110,269800
Piscataway,P10010Y,Yogurt,2.61,9,0
Piscataway,001998B,Packaging,0.2,12713,12600
Penn Dairy,395,Ingredient ,18.6,127.6,126.6
Piscataway,330,Ingredient ,7.96,2.06,0
Piscataway,1MH20022,Finish Good ,5.36,2,0
Piscataway,T10310FT,Finish Good ,5.18,2,0
Piscataway,P11360Y,Yogurt,3.5,343.1,340.4
Piscataway,P10411Y,Yogurt,2.79,1276,1273
Penn Dairy,529,Ingredient ,5.05,71,69.43
Piscataway,355,Ingredient ,4.2,6558.69,6556.9
Piscataway,1T10370FT,WIP,2.38,3,0
Piscataway,00160G(B),Packaging,0.03,742470,742250
E-Comm,T10420FT,Finish Good ,4.79,12,11
Penn Dairy,365,Ingredient ,2.62,698,696.5
Piscataway,P10130Y,Yogurt,3.12,1.2,0
Piscataway,1T12130FT,WIP,0.54,6,0
Piscataway,P10160Y,Yogurt,2.5,1.1,0
Piscataway,1T1321FT,WIP,0.54,5,0
Piscataway,P11021Y,Yogurt,3.33,0.8,0
Piscataway,P10024Y,Yogurt,3.11,0.8,0
Piscataway,P10210Y,Yogurt,2.93,0.8,0
Penn Dairy,225,Ingredient ,17.49,0.13,0
Piscataway,1MH21024,WIP,0.5,4,0
Piscataway,P10181Y,Yogurt,3.3,0.6,0
Penn Dairy,232,Ingredient ,15.54,25.5,25.38
H&F,GRAN_GRAHAM1,Granola,3.4,0.5,0
H&F,GRAN_COCO3,Granola,2.64,0.5,0
Penn Dairy,370,Ingredient ,2.02,0.5,0
Piscataway,CH005-ALM,Coating,2,0.47,0
Piscataway,P10180Y,Yogurt,3.36,0.2,0
Piscataway,P10121Y,Yogurt,3.04,3489.2,3489
Piscataway,P10020Y,Yogurt,2.98,0.1077,0
Piscataway,P10220Y,Yogurt,3.17,0.1,0
Penn Dairy,325,Ingredient ,1.45,120.2,120
Penn Dairy,P10120Y,Yogurt,2.63,0.1,0
Piscataway,P10022Y,Yogurt,3.18,0.0636,0
Piscataway,91,Packaging,0.19,0.25,0
H&F,CH005-ALM,Coating,2,0.02,0
Penn Dairy,254,Ingredient ,0.29,0.10323,0
H&F,00112PFC,Packaging,0.53,16000,16000
H&F,001701G,Packaging,0.18,80040,80040
H&F,366,Ingredient ,2.51,5000,5000
Penn Dairy,312,Ingredient ,1.72,175,175
Penn Dairy,390,Ingredient ,4.42,2861.73,2861.73
Penn Dairy,457,Ingredient ,17.94,115.42,115.42
Penn Dairy,461,Ingredient ,2.43,440.9,440.9
