,Inventory Site,Item Number,Item Type,Asset Value,Inventory QTY,Physical QTY,Inventory Asset,Physical Asset,Variance QTY,Difference
0,H&F,1T11510FT,WIP,0.71,104123.0,0.0,73927.33,0.0,-104123.0,-73927.33
1,E-Comm,E-Comm,Finish Good ,9.34,7418.0,58.0,69284.12,541.72,-7360.0,-68742.4
2,Drop Ship,54,Packaging,0.23,188000.0,0.0,43240.0,0.0,-188000.0,-43240.0
3,H&F,411,Ingredient ,2.95,12293.101,0.0,36264.647950000006,0.0,-12293.101,-36264.647950000006
4,H&F,001696G,Packaging,0.16,237243.0,15043.0,37958.88,2406.88,-222200.0,-35552.0
5,Piscataway,CH007B,Coating,1.14,38537.5076,10351.0,43932.75866399999,11800.14,-28186.507599999997,-32132.618663999994
6,Piscataway,1T11010FT,WIP,0.4,76738.0,0.0,30695.2,0.0,-76738.0,-30695.2
7,H&F,520,Ingredient ,2.69,12880.0,1440.0,34647.2,3873.6,-11440.0,-30773.6
8,H&F,00109PFC,Packaging,0.8,37518.0,5643.0,30014.4,4514.400000000001,-31875.0,-25500.0
9,Piscataway,CH003-NSAD,Coating,2.15,10099.65944,0.0,21714.267795999996,0.0,-10099.65944,-21714.267795999996
10,Piscataway,211,Ingredient ,1.97,59734.3,50000.0,117676.57100000001,98500.0,-9734.300000000003,-19176.57100000001
11,Piscataway,MIN120FT,Finish Good ,13.29,4754.0,3506.0,63180.659999999996,46594.74,-1248.0,-16585.92
12,H&F,525,Ingredient ,14.46,1050.0,0.0,15183.0,0.0,-1050.0,-15183.0
13,Piscataway,00109SL,Packaging,1.54,18575.0,8750.0,28605.5,13475.0,-9825.0,-15130.5
14,Piscataway,1MIN1190FT,WIP,0.27,137926.0,82129.0,37240.020000000004,22174.83,-55797.0,-15065.190000000002
15,Piscataway,P10120Y,Yogurt,2.63,8309.5,3608.6,21853.985,9490.617999999999,-4700.9,-12363.367000000002
16,H&F,201,Coating,2.11,20901.0,15793.485,44101.11,33324.25335,-5107.514999999999,-10776.856650000002
17,Penn Dairy,P10151Y,Yogurt,2.47,3998.5,0.0,9876.295,0.0,-3998.5,-9876.295
18,Drop Ship,58,Packaging,0.1,97000.0,0.0,9700.0,0.0,-97000.0,-9700.0
